Year,Unemployment_Rate,Inflation_Rate,Interest_Rate,Median_House_Price
1975,8.5,9.1,7.9,39500
1976,7.7,5.8,7.9,44200
1977,7.1,6.5,6.9,48600
1978,6.1,7.6,9.5,55000
1979,5.8,11.3,11.2,62000
1980,7.1,13.5,13.8,64600
1981,7.6,10.3,16.4,68900
1982,9.7,6.2,14.9,75200
1983,9.6,3.2,8.6,82800
1984,7.5,4.3,10.3,89900
1985,7.2,3.6,8.1,96900
1986,7.0,1.9,6.6,110000
1987,6.2,3.6,6.9,127200
1988,5.5,4.1,7.9,138800
1989,5.3,4.8,8.5,148800
1990,5.6,5.4,8.1,158700
1991,6.8,4.2,6.6,167000
1992,7.5,3.0,6.1,175000
1993,6.9,3.0,6.0,178600
1994,6.1,2.6,7.1,186800
1995,5.6,2.8,6.0,193200
1996,5.4,3.0,5.5,199400
1997,4.9,2.3,5.5,207000
1998,4.5,1.6,5.0,218100
1999,4.2,2.2,4.8,228600
2000,4.0,3.4,6.2,246000
2001,4.7,2.8,3.9,269000
2002,5.8,1.6,1.7,276000
2003,6.0,2.3,1.1,283000
2004,5.5,2.7,1.4,297000
2005,5.1,3.4,3.2,317900
2006,4.6,3.2,5.1,329000
2007,4.6,2.8,4.6,334500
2008,5.8,3.8,1.9,292000
2009,9.3,-0.4,0.1,248000
2010,9.6,1.6,0.1,221900
2011,8.9,3.2,0.1,227000
2012,8.1,2.1,0.1,235500
2013,7.4,1.5,0.1,247200
2014,6.2,0.8,0.3,261000
2015,5.3,0.7,0.1,272800
2016,4.9,2.1,0.4,282000
2017,4.4,2.1,1.1,298500
2018,3.9,2.4,1.7,310800
2019,3.7,1.8,2.5,321500
2020,8.1,1.2,0.5,336800
2021,5.3,4.7,0.3,350000
2022,4.5,8.0,1.0,363000
2023,4.1,3.5,3.5,380000
2024,4.1,2.7,7.0,400000
